"Date","#1","#2","#3","#4","#5","#6","#7","S1","S2"
"24/02/15","3","4","6","18","21","23","31","26","37"
"17/02/15","2","4","19","25","30","31","38","11","22"
"10/02/15","6","32","36","39","40","42","44","28","38"
"03/02/15","2","5","7","10","11","12","36","4","14"
"27/01/15","1","7","9","30","31","35","40","13","39"
"20/01/15","2","14","15","20","28","31","34","29","42"
"13/01/15","23","24","33","36","38","40","44","20","37"
"06/01/15","2","6","11","19","35","39","40","8","22"
"30/12/14","4","7","19","26","35","41","43","23","31"
"23/12/14","6","13","17","19","25","34","37","12","45"
"16/12/14","4","11","20","21","25","42","45","1","23"
"09/12/14","7","13","15","21","25","42","43","22","27"
"02/12/14","1","15","21","29","35","36","45","19","40"
"25/11/14","8","9","13","16","24","25","42","4","33"
"18/11/14","14","28","29","30","37","38","44","9","34"
"11/11/14","2","10","21","25","33","41","43","4","31"
"04/11/14","13","14","18","21","23","25","31","2","38"
"28/10/14","6","9","20","21","22","38","40","2","18"
"21/10/14","6","14","17","19","25","32","34","5","41"
"14/10/14","3","12","17","21","24","38","45","2","19"
"07/10/14","3","6","15","19","20","23","28","2","11"
"30/09/14","10","14","27","30","34","36","40","4","17"
"23/09/14","6","15","16","22","35","39","43","2","40"
"16/09/14","13","15","31","33","34","36","45","2","32"
"09/09/14","15","23","25","28","38","43","44","8","41"
"02/09/14","1","3","9","15","29","40","43","18","39"
"26/08/14","2","3","4","12","17","26","32","8","22"
"19/08/14","1","5","7","31","33","41","43","38","42"
"12/08/14","3","5","29","32","37","41","43","16","36"
"05/08/14","3","9","21","25","33","35","42","16","38"
"29/07/14","1","10","15","30","31","38","43","22","35"
"22/07/14","3","16","17","19","24","25","35","14","33"
"15/07/14","1","3","10","14","22","29","37","13","15"
"08/07/14","7","14","28","30","39","41","42","8","34"
"01/07/14","1","10","11","15","19","20","44","4","28"
"24/06/14","8","12","26","32","36","40","41","2","10"
"17/06/14","1","3","7","23","36","37","41","10","32"
"10/06/14","1","2","16","17","32","34","44","5","35"
"03/06/14","5","8","14","20","21","35","40","22","41"
"27/05/14","2","3","12","19","23","32","40","6","37"
"20/05/14","4","5","7","16","26","31","39","9","32"
"13/05/14","4","6","14","20","23","26","35","19","40"
"06/05/14","3","11","15","25","28","29","41","4","43"
"29/04/14","1","4","7","10","12","25","35","5","33"
"22/04/14","4","5","12","30","35","36","43","16","40"
"15/04/14","5","17","22","27","29","31","35","12","38"
"08/04/14","6","12","18","19","24","25","35","23","31"
"01/04/14","1","10","16","19","21","31","40","17","42"
"25/03/14","15","16","23","29","33","40","45","22","41"
"18/03/14","2","4","19","24","30","33","38","3","20"
"11/03/14","14","16","17","19","22","41","43","7","44"
"04/03/14","24","30","32","34","38","41","42","13","28"
"25/02/14","3","16","20","21","34","37","38","6","13"
"18/02/14","1","4","7","11","27","30","36","19","25"
"11/02/14","7","15","20","22","28","36","38","21","26"
"04/02/14","3","5","22","26","39","43","44","8","15"
"28/01/14","4","14","22","25","26","31","36","12","30"
"21/01/14","1","7","16","23","29","31","42","15","30"
"14/01/14","21","22","24","36","40","44","45","4","38"
"07/01/14","14","17","19","20","21","28","29","1","45"
"31/12/13","4","7","9","13","14","36","41","43","44"
"24/12/13","4","6","22","24","33","36","42","7","16"
"17/12/13","17","20","24","26","34","36","39","22","23"
"10/12/13","9","11","20","35","38","42","43","8","32"
"03/12/13","2","19","20","21","23","33","40","18","44"
"26/11/13","5","6","12","24","26","31","40","11","43"
"19/11/13","7","9","19","30","37","42","44","11","33"
"12/11/13","5","6","8","29","30","36","38","16","43"
"05/11/13","3","6","10","17","18","37","45","19","25"
"29/10/13","7","13","29","32","39","43","45","16","36"
"22/10/13","7","15","20","21","24","28","42","8","40"
"15/10/13","2","5","10","18","22","36","39","1","11"
"08/10/13","5","24","28","32","38","39","45","29","30"
"01/10/13","1","8","11","12","27","36","42","9","13"
"24/09/13","10","14","20","33","37","42","43","9","40"
"17/09/13","8","9","24","27","31","41","44","13","38"
"10/09/13","12","18","20","21","29","37","40","8","13"
"03/09/13","8","18","22","23","26","28","31","7","34"
"27/08/13","7","18","19","28","31","33","37","10","21"
"20/08/13","7","9","17","26","36","38","45","41","44"
"13/08/13","1","11","14","30","31","33","43","15","27"
"06/08/13","16","25","27","29","30","33","37","3","21"
"30/07/13","3","7","13","16","21","29","39","9","43"
"23/07/13","8","28","31","34","37","40","41","39","42"
"16/07/13","2","6","9","33","36","42","43","21","35"
"09/07/13","1","2","7","11","13","17","41","33","40"
"02/07/13","13","15","20","31","38","42","45","18","35"
"25/06/13","4","7","10","16","17","20","41","5","36"
"18/06/13","1","9","20","29","31","35","40","27","44"
"11/06/13","3","6","24","25","26","29","38","19","30"
"04/06/13","2","5","17","18","22","26","41","10","40"
"28/05/13","1","14","25","26","30","31","35","18","27"
"21/05/13","2","3","19","23","39","41","43","11","33"
"14/05/13","1","9","12","13","22","26","41","34","39"
"07/05/13","16","18","24","28","31","35","44","4","20"
"30/04/13","6","12","26","27","32","39","44","14","41"
"23/04/13","7","12","19","27","35","39","41","8","21"
"16/04/13","4","7","16","22","24","37","40","20","43"
"09/04/13","3","6","8","23","32","36","45","15","21"
"02/04/13","7","12","17","35","40","42","44","30","36"
"26/03/13","14","18","19","21","25","43","44","12","20"
"19/03/13","1","7","11","26","33","37","40","2","27"
"12/03/13","3","8","10","21","28","38","40","19","42"
"05/03/13","2","3","5","11","26","27","44","19","45"
"26/02/13","7","8","10","12","18","23","34","26","35"
"19/02/13","1","2","18","20","27","35","41","22","28"
"12/02/13","2","3","5","16","28","42","43","27","39"
"05/02/13","17","19","27","30","37","42","45","8","18"
"29/01/13","6","19","22","34","36","38","39","17","40"
"22/01/13","1","14","24","27","28","30","39","8","17"
"15/01/13","7","17","21","28","34","36","44","25","31"
"08/01/13","1","13","15","30","35","39","40","25","33"
"01/01/13","8","19","25","28","30","39","42","43","44"
"25/12/12","2","5","15","16","20","28","32","10","24"
"18/12/12","12","15","19","22","36","41","43","1","38"
"11/12/12","3","5","12","15","21","25","30","20","32"
"04/12/12","1","3","7","14","21","24","31","10","34"
"27/11/12","1","9","13","16","22","33","34","4","5"
"20/11/12","19","24","26","34","39","43","44","5","31"
"13/11/12","3","7","8","12","17","37","39","23","32"
"06/11/12","2","7","8","13","15","29","43","20","21"
"30/10/12","4","5","8","16","21","26","31","32","41"
"23/10/12","2","14","16","21","25","27","41","32","43"
"16/10/12","4","5","8","16","23","44","45","24","36"
"09/10/12","1","4","12","15","22","33","43","30","45"
"02/10/12","2","11","13","15","28","33","41","16","17"
"25/09/12","5","15","29","35","40","44","45","12","36"
"18/09/12","6","7","11","12","14","16","17","10","39"
"11/09/12","1","9","10","12","20","26","32","17","19"
"04/09/12","6","18","20","32","33","34","44","2","23"
"28/08/12","12","25","26","28","35","39","42","5","18"
"21/08/12","5","18","32","33","35","36","44","4","39"
"14/08/12","4","7","14","18","19","28","42","27","40"
"07/08/12","3","4","15","19","28","38","44","25","42"
"31/07/12","1","5","8","14","17","19","20","2","18"
"24/07/12","6","20","29","31","36","40","43","2","17"
"17/07/12","3","4","16","17","20","32","34","38","41"
"10/07/12","1","4","9","19","20","37","40","7","24"
"03/07/12","19","21","24","28","32","34","45","16","18"
"26/06/12","1","7","11","17","19","25","43","14","21"
"19/06/12","1","2","4","10","16","31","39","18","21"
"12/06/12","7","8","10","26","33","42","45","30","37"
"05/06/12","1","12","30","33","34","37","44","27","38"
"29/05/12","3","11","29","35","37","43","45","5","24"
"22/05/12","6","12","14","22","33","38","45","13","19"
"15/05/12","7","10","14","17","19","38","45","20","25"
"08/05/12","6","8","17","28","34","41","42","4","19"
"01/05/12","2","6","25","29","34","36","37","3","8"
"24/04/12","4","6","11","16","19","27","45","13","43"
"17/04/12","9","21","24","27","35","38","40","30","39"
"10/04/12","6","15","22","35","36","42","45","10","23"
"03/04/12","7","10","19","21","27","36","44","2","8"
"27/03/12","3","11","15","17","18","24","39","23","34"
"20/03/12","3","5","15","22","23","34","40","2","26"
"13/03/12","3","23","26","29","32","33","42","13","36"
"06/03/12","5","7","15","21","29","32","41","36","37"
"28/02/12","5","8","12","17","28","30","43","25","31"
"21/02/12","6","13","14","19","31","41","45","9","28"
"14/02/12","7","10","23","25","27","31","43","20","34"
"07/02/12","1","5","20","21","25","33","39","29","41"
"31/01/12","1","9","12","14","18","32","39","11","25"
"24/01/12","10","12","13","27","29","40","44","15","18"
"17/01/12","2","5","7","11","13","31","32","21","27"
"10/01/12","5","6","7","8","37","39","44","33","40"
"03/01/12","1","22","31","34","35","39","42","6","43"
"27/12/11","6","9","12","18","20","35","38","13","41"
"20/12/11","7","8","9","21","29","36","40","10","32"
"13/12/11","11","18","21","25","29","42","45","23","40"
"06/12/11","2","8","12","24","29","30","33","11","17"
"29/11/11","5","6","9","12","15","33","34","1","4"
"22/11/11","5","10","11","16","21","25","37","12","39"
"15/11/11","6","7","8","9","20","22","28","29","39"
"08/11/11","1","3","6","15","18","21","34","12","28"
"01/11/11","5","12","17","23","25","31","44","13","19"
"25/10/11","3","16","29","33","34","35","36","14","31"
"18/10/11","6","10","15","16","36","43","45","9","44"
"11/10/11","6","8","12","25","32","39","44","10","41"
"04/10/11","1","2","9","19","25","36","42","5","6"
"27/09/11","15","21","23","26","32","34","40","22","37"
"20/09/11","1","4","17","19","22","27","29","8","28"
"13/09/11","6","18","20","24","31","37","38","8","21"
"06/09/11","2","5","16","20","27","40","44","22","31"
"30/08/11","4","8","16","22","28","34","41","13","20"
"23/08/11","7","9","12","18","26","27","39","8","30"
"16/08/11","5","18","22","24","25","39","41","6","16"
"09/08/11","6","14","26","27","29","33","39","23","30"
"02/08/11","2","4","20","25","27","29","42","17","32"
"26/07/11","10","21","23","27","35","41","45","37","39"
"19/07/11","5","8","9","20","24","27","34","7","23"
"12/07/11","7","8","16","21","24","27","35","5","33"
"05/07/11","6","20","28","29","33","34","40","8","21"
